claim_id,study_id,result_position,source_result_id,role,direction,status,note
study_03_claim_01,study_03,key,study_03_result_01,primary,unclear,pending,"Wave 3 (MANOVA). Verified against Ali's Phase 2: reported key F(3,164)=2.14 matches result_01 exactly. Needs a raw-data Bayesian MANOVA/multivariate model."
study_03_claim_02,study_03,second,study_03_result_02,supplementary,unclear,pending,"Verified: reported second F(3,164)=0.78 matches result_02 exactly. Same raw-data model requirement as claim_01."
study_05_claim_01,study_05,key,study_05_result_01,primary,two_sided,ready,"Verified: reported key t=3.26 matches result_01 exactly. Checked Phase 1 hypothesis column: the article's a priori prediction concerns forgetting-over-time (retest vs original), not the psych-vs-nonpsych comparison actually tested here, so no legitimate pre-specified direction applies -- keep two_sided."
study_05_claim_02,study_05,second,study_05_result_02,supplementary,two_sided,ready,Verified: reported second t=16.06 matches result_02 exactly. Same reasoning as claim_01 -- no applicable pre-specified direction.
study_06_claim_01,study_06,key,study_06_result_01,primary,positive,pending,"Wave 2 (factorial ANOVA simple effect). Phase 1 hypothesis explicitly predicts belonging would be 'strengthened' by social annotation -- legitimate pre-specified direction, updated from two_sided to positive. Still needs raw-data model fit (2x2 between-subjects design)."
study_10_claim_01,study_10,key,study_10_result_01,primary,unclear,pending,"Wave 2 (factorial ANOVA, 2 df numerator). Needs raw-data model fit."
study_10_claim_02,study_10,second,study_10_result_02,supplementary,unclear,pending,"Wave 2 (factorial ANOVA, 2 df numerator). Needs raw-data model fit."
study_13_claim_01,study_13,key,study_13_result_01,primary,positive,pending,"Phase 1 hypothesis explicitly predicts the intervention 'would increase' knowledge/awareness/intentions -- legitimate pre-specified direction, updated from two_sided to positive. Still Wave 2: Welch (heteroscedastic) independent t-test, needs a raw-data heteroscedastic Bayesian model, not meta.ttestBF()'s equal-variance JZS model."
study_13_claim_02,study_13,second,study_13_result_02,supplementary,positive,pending,Same as claim_01: pre-specified positive direction confirmed; Welch design still needs a heteroscedastic model.
study_14_claim_01,study_14,key,study_14_result_01,primary,two_sided,ready,Verified: reported key r=.46 matches result_01 exactly. No explicit directional hypothesis in Phase 1 (aim/RQ substituted) -- keep two_sided.
study_14_claim_02,study_14,second,study_14_result_02,supplementary,two_sided,ready,Verified: reported second r=.30 matches result_02 exactly. Same reasoning as claim_01.
study_18_claim_01,study_18,key,study_18_result_01,primary,unclear,pending,"Verified: reported key F(16,574)=36.66 matches result_01 exactly. Wave 3 (MANOVA, 16 outcome-related predictors). Needs raw-data multivariate model."
study_20_claim_01,study_20,key,study_20_result_01,primary,positive,pending,Phase 1 hypothesis explicitly predicts reflection+social-interaction components lead to 'stronger epistemic change' than the comparisons -- this legitimately supports the one-sided test the authors themselves used (not a post-hoc choice). Updated from unclear to positive. Wave 3 (SEM/lavaan); still needs Bayesian SEM (e.g. blavaan).
study_20_claim_02,study_20,second,study_20_result_02,supplementary,positive,pending,Same pre-specified hypothesis as claim_01 supports positive/one-sided direction. Same SEM model family requirement.
study_21_claim_01,study_21,key,study_21_result_01,primary,two_sided,ready,"Verified: reported key matches result_01 (Pre M=5.31 SD=0.96, Post M=4.94 SD=1.10) exactly. No explicit directional hypothesis in Phase 1 (research question substituted) -- keep two_sided."
study_21_claim_02,study_21,second,,supplementary,unclear,held,"Out of scope per metadata/data_scope_note.md (result must have a p-value AND be fully reproduced): Ali's Phase 2 explicitly marks this second result 'Not reproducible', so no verified result and no p-value exist. Held, not re-attempted, same treatment as study_35."
study_22_claim_01,study_22,key,study_22_result_01,primary,two_sided,ready,"Verified: reported key F(1,23)=50.76 matches result_01 exactly. Phase 1 hypothesis is non-specific ('could prove effective') -- not a crisp directional prediction, keep two_sided. Recomputed as a 2-level repeated-measures ANOVA; F(1,23)=50.76=t(23)^2=7.1245^2, so use t_value/t_df directly with the Wave-1 paired-t Bayes factor, not an ANOVA model."
study_22_claim_02,study_22,second,,supplementary,unclear,held,"Out of scope per metadata/data_scope_note.md (result must have a p-value AND be fully reproduced): Ali's Phase 2 explicitly marks this second result 'Not reproducible', so no verified result and no p-value exist. Held, not re-attempted, same treatment as study_35."
study_26_claim_01,study_26,key,study_26_result_01,primary,two_sided,pending,"Verified: reported key z=-6.155 matches result_01 (z=-6.154861) exactly. Wave 3: Wilcoxon signed-rank. Needs a rank-likelihood or robust location model, not a t-test conversion."
study_26_claim_02,study_26,second,study_26_result_02,supplementary,two_sided,pending,Verified: reported second z=-6.126 matches result_02 (z=-6.126040) exactly. Same model requirement as claim_01.
